(1, 138, 7.0),
(1, 1058, 8.5),
(2, 613, 6.5),
(2, 121, 6.3),
(2, 560, 6.7),
(2, 117, 8.1),
(2, 818, 7.0),
(2, 1073, 6.8),
(2, 334, 5.8),
(3, 691, 6.6),
(4, 817, 9.1),
(4, 812, 8.6),
(4, 448, 9.4),
(4, 920, 8.0),
(4, 1015, 9.4),
(4, 665, 6.8),
(4, 933, 7.8),
(5, 1017, 9.2),
(6, 1139, 7.2),
(6, 718, 9.1),
(6, 367, 7.2),
(6, 1084, 7.4),
(6, 543, 6.3),
(7, 1102, 9.0),
(7, 8, 6.6),
(7, 298, 8.0),
(7, 121, 9.2),
(7, 233, 7.6),
(7, 220, 8.8),
(7, 132, 7.5),
(7, 1090, 7.4),
(7, 421, 6.8),
(8, 634, 7.2),
(9, 41, 8.8),
(9, 1017, 6.5),
(9, 813, 6.4),
(9, 619, 7.9),
(10, 833, 7.0),
(10, 243, 8.3),
(10, 190, 6.6),
(10, 1145, 5.6),
(10, 364, 7.0),
(10, 781, 7.2),
(10, 22, 8.2),
(10, 725, 8.2),
(10, 313, 7.4),
(11, 587, 6.7),
(12, 636, 7.4),
(12, 963, 7.5),
(12, 60, 6.2),
(12, 915, 7.2),
(12, 1085, 5.9),
(12, 288, 5.8),
(12, 380, 7.5),
(13, 1095, 5.2),
(13, 169, 6.3),
(13, 337, 6.8),
(13, 668, 7.9),
(14, 168, 7.1),
(14, 173, 8.8),
(14, 319, 8.1),
(14, 579, 6.1),
(15, 1118, 5.7),
(15, 282, 5.5),
(15, 707, 6.1),
(15, 1004, 5.8),
(15, 794, 7.4),
(15, 88, 5.7),
(15, 915, 7.0),
(16, 942, 7.2),
(16, 536, 8.4),
(16, 1152, 7.2),
(16, 21, 7.1),
(16, 803, 7.4),
(16, 1051, 8.4),
(17, 130, 7.0),
(17, 99, 8.3),
(17, 339, 7.9),
(17, 1009, 7.0),
(17, 71, 8.4),
(17, 465, 7.4),
(17, 221, 9.1),
(17, 776, 9.4),
(17, 902, 9.6),
(18, 992, 9.0),
(18, 879, 6.4),
(18, 422, 7.7),
(18, 206, 8.3),
(19, 769, 7.9),
(19, 181, 7.2),
(19, 1095, 8.3),
(19, 1005, 7.5),
(19, 24, 7.8),
(20, 520, 7.0),
(20, 191, 6.0),
(20, 992, 7.6),
(20, 555, 6.1),
(20, 643, 6.4),
(20, 310, 7.5),
(20, 919, 7.9),
(21, 677, 5.5),
(21, 466, 5.5),
(21, 585, 7.8),
(21, 735, 7.1),
(21, 878, 6.7),
(21, 861, 7.8),
(21, 241, 6.2),
(22, 963, 5.6),
(22, 260, 6.1),
(23, 119, 7.1),
(23, 400, 5.8),
(23, 963, 5.4),
(23, 781, 6.2),
(23, 1066, 7.2),
(23, 259, 4.4),
(23, 940, 4.3),
(23, 159, 4.8),
(24, 20, 5.8),
(24, 93, 6.6),
(24, 234, 5.3),
(24, 509, 7.0),
(25, 197, 5.5),
(25, 594, 7.1),
(25, 79, 5.8),
(25, 135, 6.8),
(25, 409, 6.6),
(25, 519, 6.3),
(25, 1103, 5.3),
(25, 179, 6.6),
(25, 946, 5.1),
(26, 769, 6.4),
(26, 520, 7.7),
(26, 741, 6.7),
(26, 210, 8.6),
(27, 1152, 7.7),
(28, 442, 8.7),
(29, 67, 7.1),
(29, 584, 7.1),
(29, 293, 6.3),
(29, 16, 7.9),
(29, 867, 5.8),
(29, 399, 5.4),
(29, 901, 5.1),
(29, 125, 5.1),
(29, 732, 6.5),
(29, 984, 7.5),
(30, 887, 6.2),
(30, 803, 7.9),
(30, 702, 7.7),
(30, 193, 6.0),
(30, 668, 5.1),
(30, 368, 5.9),
(31, 323, 8.5),
(31, 680, 7.5),
(31, 297, 9.4),
(31, 592, 9.2),
(31, 1016, 9.5),
(32, 50, 6.6),
(33, 804, 6.9),
(33, 172, 6.0),
(33, 777, 6.3),
(33, 610, 7.2),
(34, 912, 8.2),
(34, 696, 6.5),
(34, 217, 7.7),
(34, 185, 7.5),
(34, 982, 8.1),
(34, 327, 8.3),
(34, 1132, 5.9),
(35, 281, 8.5),
(36, 321, 7.7),
(37, 614, 5.7),
(37, 33, 6.9),
(37, 923, 5.6),
(37, 309, 6.3),
(37, 649, 7.2),
(37, 896, 5.3),
(38, 536, 6.6),
(38, 919, 7.0),
(38, 504, 7.8),
(38, 723, 5.5),
(39, 632, 5.3),
(39, 117, 6.0),
(39, 1074, 4.8),
(39, 296, 4.7),
(40, 56, 5.8),
(40, 678, 5.7),
(40, 711, 6.0),
(40, 475, 5.5),
(41, 151, 7.2),
(41, 783, 7.1),
(42, 376, 6.0),
(43, 209, 8.2),
(43, 308, 7.4),
(43, 350, 7.5),
(43, 70, 6.3),
(44, 762, 7.0),
(44, 937, 7.2),
(44, 851, 7.6),
(44, 495, 7.0),
(44, 45, 7.5),
(44, 410, 6.0),
(44, 908, 6.5),
(44, 86, 7.8),
(44, 292, 7.3),
(44, 661, 5.5),
(45, 428, 6.2),
(45, 416, 7.3),
(45, 662, 6.8),
(45, 109, 7.0),
(46, 197, 5.8),
(46, 433, 5.9),
(46, 526, 5.7),
(46, 717, 5.7),
(46, 447, 8.2),
(46, 418, 6.1),
(47, 66, 6.5),
(47, 147, 6.7),
